name,brand,rating,price_bdt,release_year,os,display_inches,camera_megapixel,ram_gb,battery_mah
Ulefone Armor 29 Pro Thermal,Ulefone,8.4,0.0,"Exp. release 2025, September 15",Android 15,6.67,64,16,21200.0
Ulefone Armor 29 Pro,Ulefone,8.5,0.0,"Exp. release 2025, September 15",Android 15,6.67,64,16,21200.0
Ulefone RugKing,Ulefone,6.0,0.0,"Exp. release 2025, September 15",Android 15,5.99,50,8,9600.0
Cubot X100,Cubot,6.8,0.0,"2025, August",Android 15,6.88,64,8,5100.0
Cubot KingKong Mini 4,Cubot,5.8,0.0,"2025, August",Android 15,4.7,48,6,4700.0
Vivo T4 Pro,Vivo,7.9,50000.0,"2025, August 26",Android 15,6.77,50,4,6500.0
Samsung Galaxy A07 4G,Samsung,6.3,10000.0,"2025, August 25",Android 15,6.7,50,4,5000.0
Itel Zeno 20,Itel,6.0,9000.0,"2025, August 25",Android 14,6.6,13,3,5000.0
Lava Play Ultra,Lava,6.9,22000.0,"2025, August 25",Android 15,6.67,64,6,5000.0
Realme Note 70,Realme,6.5,11999.0,"2025, August 24",Android 15,6.7,13,4,6300.0
Xiaomi Redmi Note 15 Pro+ 5G,Xiaomi,8.8,42000.0,"2025, August 21",Android 15,6.83,50,4,7000.0
Xiaomi Redmi Note 15 Pro 5G,Xiaomi,8.1,34000.0,"2025, August 21",Android 15,6.83,50,8,7000.0
Xiaomi Redmi Note 15 5G,Xiaomi,7.5,31000.0,"2025, August 21",Android 15,6.77,50,3,5800.0
Realme P4 Pro,Realme,7.8,40000.0,"2025, August 27",Android 15,6.8,50,4,7000.0
Realme P4,Realme,7.4,30000.0,"2025, August 20",Android 15,6.77,50,6,7000.0
Google Pixel 10 Pro XL,Google,9.9,150000.0,"2025, August 28",Android 15,6.8,50,5,5200.0
Google Pixel 10 Pro,Google,9.3,125000.0,"2025, August 28",Android 15,6.3,50,5,4870.0
Google Pixel 10,Google,8.4,110000.0,"2025, August 28",Android 16,6.3,50,5,4970.0
Walton XANON X1 Ultra,Walton,6.5,17999.0,"2025, August 19",Android 15,6.6,50,6,5000.0
T-Mobile T Tablet 2,T-Mobile,5.6,30000.0,"2025, August 14",Android 15,10.1,8,6,6000.0
T-Mobile T Phone 3,T-Mobile,6.9,0.0,"2025, August",Android 15,6.58,50,3,5000.0
Doogee Fire 7,Doogee,6.6,40000.0,"2025, August",Android 15,6.6,64,4,13000.0
Doogee Fire 3 Pro,Doogee,5.5,25000.0,"2025, August",Android 15,5.5,16,4,8350.0
Doogee Fire 3 Ultra,Doogee,6.0,30000.0,"2025, August",Android 15,5.5,20,6,8350.0
Tecno Spark Go,Tecno,6.6,15000.0,"2025, August 21",Android 15,6.74,50,4,6000.0
Doogee S200 Max,Doogee,8.0,70000.0,"2025, August",Android 15,6.72,100,16,22000.0
Infinix Hot 60i,Infinix,7.3,15000.0,"2025, August 21",Android 15,6.75,50,4,6000.0
Xiaomi Poco M7 4G,Xiaomi,7.0,18000.0,"2025, August 13",Android 15,6.9,50,6,7000.0
Honor X7c,Honor,6.9,25000.0,"2025, August 20",Android 14,6.8,50,2,5200.0
Vivo V60,Vivo,8.3,52000.0,"2025, August 19",Android 15,6.77,50,4,6500.0
Cubot KingKong 11,Cubot,7.3,40000.0,"2025, August",Android 15,6.72,108,16,10200.0
Cubot KingKong ES 3,Cubot,6.3,20000.0,"2025, August",Android 15,6.75,48,6,10200.0
Ulefone Armor 29 Ultra,Ulefone,8.8,130000.0,"Exp. release 2025, August 18",Android 15,6.67,64,16,21200.0
Ulefone Armor 33,Ulefone,7.8,85000.0,"2025, August 18",Android 15,6.95,64,12,25500.0
Infinix GT 30,Infinix,7.6,28000.0,"2025, August 11",Android 15,6.78,64,8,5500.0
Honor 400 Smart,Honor,6.4,0.0,"2025, August 09",Android 15,6.77,50,3,6500.0
Ulefone Armor 34,Ulefone,5.0,90000.0,"2025, August 18",Android 15,6.95,64,16,25500.0
Lava Blaze Amoled 2,Lava,7.3,22000.0,"2025, August 16",Android 15,6.67,50,6,5000.0
Wiko T40,Wiko,5.9,0.0,2025,Android 14,6.56,50,4,5000.0
Vivo iQOO Z10 Turbo+,Vivo,8.5,45000.0,"2025, August 07",Android 15,6.78,50,12,8000.0
Samsung Galaxy A17,Samsung,6.8,35000.0,"2025, August 14",Android 15,6.7,50,4,5000.0
Xiaomi Poco M7 Plus,Xiaomi,7.3,20000.0,"2025, August 19",Android 15,6.9,50,3,7000.0
Vivo Y400,Vivo,7.6,26000.0,"2025, August 07",Android 15,6.67,50,2,6000.0
Symphony Innova 40,Symphony,6.3,10999.0,"2025, August 10",Android 15,6.75,50,6,6000.0
